time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],pr[unit="in"]
2021-09-17T00:00:00Z,31.9555,-109.0744,0.0
2021-09-18T00:00:00Z,31.9555,-109.0744,0.0
2021-09-19T00:00:00Z,31.9555,-109.0744,0.0
2021-09-20T00:00:00Z,31.9555,-109.0744,0.0
2021-09-21T00:00:00Z,31.9555,-109.0744,0.0
2021-09-22T00:00:00Z,31.9555,-109.0744,0.0
2021-09-23T00:00:00Z,31.9555,-109.0744,0.04055452346801758
2021-09-24T00:00:00Z,31.9555,-109.0744,0.015179431065917015
2021-09-25T00:00:00Z,31.9555,-109.0744,0.0
2021-09-26T00:00:00Z,31.9555,-109.0744,0.0
2021-09-27T00:00:00Z,31.9555,-109.0744,0.0
2021-09-28T00:00:00Z,31.9555,-109.0744,0.0
2021-09-29T00:00:00Z,31.9555,-109.0744,0.0
